datetime,seconds,action,model,item_type,id,sender_user,sender_agent,sender_id,document,portal,container,x,y,rotation,scale,text,value,seance
2019-09-24T12:30:03.781Z,268.67,create,items,Postit,10978437-cfe6-46c0-91ef-427db759ade0,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1,,73d278b0-a6c5-49b7-add9-93efce5dd98b,3154.0,1946.0,0.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:03.984Z,268.873,create,items,Postit,17fc6e91-e491-4360-9efd-01f59e622309,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1,,73d278b0-a6c5-49b7-add9-93efce5dd98b,709.0,1966.0,0.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:03.987Z,268.876,create,items,Postit,246ee8ce-5552-4204-b105-5867c21f23ee,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1,,73d278b0-a6c5-49b7-add9-93efce5dd98b,292.0,822.0,90.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:04.043Z,268.932,create,items,Postit,be783165-0ed5-48b2-96d3-3954b336c51e,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1,,73d278b0-a6c5-49b7-add9-93efce5dd98b,3101.0,189.0,180.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:04.262Z,269.151,create,items,Postit,e2609075-2903-42d0-97b0-fcc3935ff846,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1,,73d278b0-a6c5-49b7-add9-93efce5dd98b,3590.0,577.0,-90.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:04.372Z,269.261,update,items.Transform,,10978437-cfe6-46c0-91ef-427db759ade0,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,3054.0,1882.0,0.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:05.715Z,270.604,create,items,Postit,41e1e194-cdee-4ee8-9fc7-b43ed043d459,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,ae2cb047-dd4a-4e81-b185-b4ef79dbb2f1,,73d278b0-a6c5-49b7-add9-93efce5dd98b,1391.0,294.0,180.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:18.913Z,283.802,update,items.Transform,,e2609075-2903-42d0-97b0-fcc3935ff846,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,3415.1,976.6,-90.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:21.836Z,286.725,update,items.Transform,,be783165-0ed5-48b2-96d3-3954b336c51e,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,3201.0,445.8,180.0,1.0,,,Seance_2_FAST_Valise/
2019-09-24T12:30:09.708Z,274.597,update,items.Text,,246ee8ce-5552-4204-b105-5867c21f23ee,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,,,,,a,,Seance_2_FAST_Valise/
2019-09-24T12:30:10.930Z,275.819,update,items.Text,,e2609075-2903-42d0-97b0-fcc3935ff846,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,,,,,t,,Seance_2_FAST_Valise/
2019-09-24T12:30:11.595Z,276.484,update,items.Text,,be783165-0ed5-48b2-96d3-3954b336c51e,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,,,,,Alix,,Seance_2_FAST_Valise/
2019-09-24T12:30:13.762Z,278.651,update,items.Text,,10978437-cfe6-46c0-91ef-427db759ade0,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,,,,,table,,Seance_2_FAST_Valise/
2019-09-24T12:30:14.279Z,279.168,update,items.Text,,41e1e194-cdee-4ee8-9fc7-b43ed043d459,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,,,,,camille,,Seance_2_FAST_Valise/
2019-09-24T12:30:30.032Z,294.921,update,items.Transform,,41e1e194-cdee-4ee8-9fc7-b43ed043d459,creation,UbikeyOfficeHorizontal/1.4.4 (HALLNUMTBL05),b1233ecf-4a75-40c8-b0aa-e89e91de5b36,,,,1491.0,445.8,180.0,1.0,,,Seance_2_FAST_Valise/
